Alignment_w_Promulgation_of_Command_Priorites,Any_issues,Average_Rating,Blanking_1_shown_data_don_t_show_this_data_i_e_blank,Cash,Cash_Awards_Bins,Cash_Bins,Cash_Provided,Critical_Thinking_Innovation,Deliver_Results,Employee_Lname_Fname,Employee_Salary,Engagement_Collaboration,Grade,HLR_Lname,ID,Leading_People_Leading_Change,Notes,Org,Overall_Rating,QSI,QSI_Approved,Rater_Lname,Series,Step,Supervisor_Employee,TOA,TOA_Bins,TOA_Provide,TOA_Range_Guidance,Technical_Competence,Total_Award,Within_Guidance,of_Annual_Salary_Cash_Award_Range_Guidance
5,Total Award too Low,4.6,1,4757, $4000-5000 , 3-4% ,3.53,5,5,John Lafayette,134798,3,13,ANGELE MONTFORT,0031H00001tjn1wQAA,,,AME ,Level 5 - Outstanding,No,,CHAUNCEY MCWILLIAMS,0801,10,Employee,,"  0 hours, (0%)  ",,0 - 40,5,3.52898,No,3.6 - 4.0
3,Total Award too High,4.2,1,4700, $4000-5000 , 3-4% ,3.68,5,5,Greg Lee,127885,3,13,ANGELE MONTFORT,0031H00001tHTVnQAO,,,AME ,Level 3 - Fully Successful,No,,CHAUNCEY MCWILLIAMS,0801,08,Employee,,"  0 hours, (0%)  ",,0 - 40,5,3.67518,No,2.6 - 3.5
3,No issues,4.2,1,2225, $2000-3000 , 1-2% ,1.84,5,5,ALISON FIELD,120972,3,13,ANGELE MONTFORT,0031H00001tFx6PQAS,,,AME ,Level 3 - Fully Successful,No,,CHAUNCEY MCWILLIAMS,0301,06,Employee,16,"10-20 hours, (0.5-1%)",0.8,0 - 40,5,2.63927,Yes,2.6 - 3.5
3,Total Award too High,4.6,1,5700,>$5000,>4%,5,5,5,Jen McClure,114059,5,13,JUSTIN CHAVEZ,0031H00001tHnnxQAC,5,,ATL,Level 5 - Outstanding,No,,VINCENTE MARQUEZ,0301,04,Supervisor,,"  0 hours, (0%)  ",,0 - 40,,4.99741,No,3.6 - 4.0
5,No issues,5,1,5100,>$5000,>4%,4.47,5,5,STEVEN HOLLOWAY,114059,5,13,JUSTIN CHAVEZ,0031H00001rEkl1QAC,,,ATL,Level 5 - Outstanding,No,,RONALD LOTT,1301,04,Employee,,"  0 hours, (0%)  ",,0 - 40,5,4.47137,Yes,4.1 - 4.5
3,Total Award too High,4.2,1,4000,   $0   , 3-4% ,3.73,3,5,PAMELA DOZIER,107146,5,13,JUSTIN CHAVEZ,0011H000020HrqFQAS,,,ATL,Level 3 - Fully Successful,No,,ED LOWE,0801,02,Employee,,"  0 hours, (0%)  ",,0 - 40,5,3.73322,No,2.6 - 3.5
5,Total Award too High,4.6,1,4300, $4000-5000 ,>4%,4.77,3,5,LAURITA COTTONHAM,90106,5,12,JUSTIN CHAVEZ,0031H00001rEkl0QAC,,,ATL,Level 5 - Outstanding,No,,KELLY OLEGERIIL,0801,02,Employee,,"  0 hours, (0%)  ",,0 - 40,5,4.77216,No,3.6 - 4.0
5,Total Award too Low,5,1,4500, $4000-5000 , 3-4% ,3.78,5,5,Monica Edwards,118947,5,14,JOHN MARTIN,0031H00001tGfs8QAC,,,ATL,Level 5 - Outstanding,No,,JACKEY FORTENBERRY,0801,09,Employee,,"  0 hours, (0%)  ",,0 - 40,5,3.7832,No,4.1 - 4.5
3,No issues,4.2,1,3700, $3000-4000 , 2-3% ,2.76,3,5,Beth Field,134290,5,14,JOHN MARTIN,0031H00001thl66QAA,,Prorated 9 months,ATL,Level 3 - Fully Successful,No,,JACKEY FORTENBERRY,0801,08,Employee,,"  0 hours, (0%)  ",,0 - 40,5,2.75523,Yes,2.6 - 3.5
5,Total Award too High,5,1,5700,>$5000,>4%,6.85,5,5,FREDERICK MUELLER,83239,5,12,JOHN MARTIN,0031H00001rEkl2QAC,,,ATL,Level 5 - Outstanding,No,,JACKEY FORTENBERRY,0801,03,Employee,,"  0 hours, (0%)  ",,0 - 40,5,6.84775,No,4.1 - 4.5
5,Total Award too Low,5,1,2100, $2000-3000 , 1-2% ,1.46,5,5,TYRINA ARMSTRONG,143598,5,15,JOHN MARTIN,0031H00001rEkl3QAC,,,ATL,Level 5 - Outstanding,No,,JACKEY FORTENBERRY,0301,10,Employee,40,"40 hours, (2%)",2,0 - 40,5,3.46242,No,4.1 - 4.5
3,Total Award too Low,4.2,1,1000,   $0   , <1% ,0.88,5,3,Nancy Newhire,114142,5,15,ANGELE MONTFORT,0031H00002JTgF4QAL,,Prorated 4 months,ATL,Level 3 - Fully Successful,No,,ALLEN F LEACH,0560,02,Employee,,"  0 hours, (0%)  ",,0 - 40,5,0.8761,No,2.6 - 3.5
