Id,Personnel__c,Personnel__c.Competency__c,Personnel__c.Employee_Type__c,Personnel__c.FirstName,Personnel__c.Id,Personnel__c.LastName,Personnel__c.Name,Personnel__c.Pay_Grade__c,Personnel__c.Retirement__c,Personnel__c.SVC__c,Personnel__c.Title,Project__c,Project__c.BT__c,Project__c.Behind__c,Project__c.Budget_FY18__c,Project__c.Budget_FY19__c,Project__c.Budget_FY20__c,Project__c.Committed__c,Project__c.Completion__c,Project__c.Country__c,Project__c.CreatedDate,Project__c.Estimated_Transition_Date__c,Project__c.Expenditure__c,Project__c.Funding_Type__c,Project__c.G_Organization__c,Project__c.G_Priority__c,Project__c.Id,Project__c.Initiation_Date__c,Project__c.Investment__c,Project__c.LOE__c,Project__c.Name,Project__c.Organization__c,Project__c.PO_Status__c,Project__c.Portfolio__c,Project__c.Remaining__c,Project__c.Resource_Utilization__c,Project__c.State__c,Project__c.Status__c,Project__c.SystemModstamp
a011H00000W6mMdQAJ,0031H00001rEkl0QAC,Aerospace Engineer,Contractor,LAURITA,0031H00001rEkl0QAC,COTTONHAM,LAURITA COTTONHAM,,15,,PETROLEUM LABORATORY SPECIALIST,a001H00000k7FjdQAE,1,false,39600000,51480000,66924000,19800000,35,USA,2018-06-14T17:33:02.000Z,2019-05-08,23760000,6.3,A,Emergency,a001H00000k7FjdQAE,2017-10-10,-79100000,2,Project 201,SC,Received,Lethality,-3960000,86,NH,Design,2021-07-05T16:57:16.000Z
a011H00000W6mMeQAJ,0031H00001rEkl1QAC,Electrical Engineer,Contractor,STEVEN,0031H00001rEkl1QAC,HOLLOWAY,STEVEN HOLLOWAY,,10,,"OPERATIONS NCO,  ENERGY ALASKA",a001H00000k7FjeQAE,3,false,49800000,64740000,84162000,14940000,28,USA,2018-06-14T17:33:02.000Z,2019-04-27,19920000,6.5,B,Emergency,a001H00000k7FjeQAE,2017-01-21,-53800000,4,Project 202,C5ISRC,Received,Lethality,14940000,94,IN,Design,2021-07-05T16:57:16.000Z
a011H00000W6mMfQAJ,0031H00001rEkl2QAC,Aerospace Engineer,Contractor,FREDERICK,0031H00001rEkl2QAC,MUELLER,FREDERICK MUELLER,,10,,"COMMANDER,  ENERGY ALASKA",a001H00000k7FjfQAE,4,true,36900000,47970000,62361000,14760000,20,USA,2018-06-14T17:33:02.000Z,2019-05-27,18450000,6.2,C,Emergency,a001H00000k7FjfQAE,2017-11-30,-82500000,4,Project 203,GVSC,Quote Approved,Soldier/Squad,3690000,50,NY,Requirement,2021-07-01T18:40:47.000Z
a011H00000W6mMgQAJ,0031H00001rEkl3QAC,Physicist,Contractor,TYRINA,0031H00001rEkl3QAC,ARMSTRONG,TYRINA ARMSTRONG,,20,,MATERIAL STORAGE & HANDLER,a001H00000k7FjgQAE,2,false,1200000,1560000,2028000,840000,67,USA,2018-06-14T17:33:02.000Z,2018-07-13,360000,6.4,C,Emergency,a001H00000k7FjgQAE,2017-04-03,-55200000,2,Project 204,GVSC,Quote Provided,Lethality,,98,AZ,Development,2021-07-01T18:40:47.000Z
a011H00000W6mMhQAJ,0031H00001rEkl4QAC,Physicist,Contractor,TANIQUA,0031H00001rEkl4QAC,MORGAN,TANIQUA MORGAN,,05,,MATERIAL STORAGE AND HANDLER,a001H00000k7FjhQAE,1,false,43500000,56550000,73515000,8700000,29,USA,2018-06-14T17:33:02.000Z,2019-04-18,8700000,6.6,C,Emergency,a001H00000k7FjhQAE,2017-01-24,-53500000,4,Project 205,GVSC,Quote Provided,C3I,26100000,81,IA,Development,2021-07-01T18:40:47.000Z
a011H00000W6mMiQAJ,0031H00001rEkl5QAC,Physicist,Contractor,BRUNO,0031H00001rEkl5QAC,MOSQUEIRA,BRUNO MOSQUEIRA,,10,,"SUPERINTENDENT, NSA OPERATIONS",a001H00000k7FjiQAE,1,false,81800000,106340000,138242000,8180000,51,USA,2018-06-14T17:33:02.000Z,2019-05-24,16360000,6.2,C,Emergency,a001H00000k7FjiQAE,2017-12-09,-75600000,4,Project 206,GVSC,Quote Provided,C3I,57260000,59,FL,Development,2021-07-01T18:40:47.000Z
a011H00000W6mMjQAJ,0031H00001rEkl6QAC,Electrical Engineer,Contractor,KC,0031H00001rEkl6QAC,SANCHEZ,KC SANCHEZ,,10,,INVENTORY MANAGEMENT,a001H00000k7FjjQAE,2,false,88800000,115440000,150072000,26640000,46,USA,2018-06-14T17:33:02.000Z,2019-10-14,8880000,6.5,D,Emergency,a001H00000k7FjjQAE,2017-08-20,-39000000,2,Project 208,CBC,Quote Provided,Air,53280000,79,UT,Development,2021-07-05T16:57:16.000Z
a011H00000W6mMkQAJ,0031H00001rEkl7QAC,Computer Engineer,Contractor,CHARLES,0031H00001rEkl7QAC,TELLIS,CHARLES TELLIS,,10,,"COMMANDER, DEF MAPPING ACTIVITY",a001H00000k7FjkQAE,4,false,56300000,73190000,95147000,28150000,51,USA,2018-06-14T17:33:02.000Z,2020-02-02,28150000,6.3,D,Emergency,a001H00000k7FjkQAE,2017-09-17,-7900000,2,Project 209,CBC,Quote Provided,Basic Research,,85,TX,Development,2021-07-05T16:57:16.000Z
a011H00000W6mMlQAJ,0031H00001rEkl8QAC,Electrical Engineer,Contractor,GREGORY,0031H00001rEkl8QAC,BOIVIN,GREGORY BOIVIN,,05,,PETROLEUM OPERATIONS OFFICER (TWI),a001H00000k7FjlQAE,3,true,55800000,72540000,94302000,11160000,63,USA,2018-06-14T17:33:02.000Z,2020-05-13,27900000,6.4,D,Emergency,a001H00000k7FjlQAE,2017-06-15,-9000000,4,Project 210,AvMC,Review in Process,Basic Research,16740000,79,KY,Deployed,2021-07-05T16:56:16.000Z
a011H00000W6mMmQAJ,0031H00001rEkl9QAC,Chemist,Contractor,HENRY,0031H00001rEkl9QAC,BROWN,HENRY BROWN,,15,,CHIEF OF OPERATIONS  ENERGY MIDDLE EAST,a001H00000k7FjmQAE,5,false,90100000,117130000,152269000,63070000,72,USA,2018-06-14T17:33:02.000Z,2019-01-04,18020000,6.5,D,Emergency,a001H00000k7FjmQAE,2017-09-22,-5500000,1,Project 211,CBC,Quote Provided,Soldier/Squad,9010000,69,WI,Development,2021-07-05T16:57:16.000Z
