IDP_Agreed_Upon,acq_wf,age,age_bucket,age_delta,availability,career_segment,clearance_level,competency_id,competency_name,devcom_center,development_level,domain,first_name,focus,frequency,full_name,gender,govt_svc,high_edu_achieved,id,last_name,new_acq_wf,num_competencies,num_projects,personnel_type,phone,race,real_email,ret_age,specialization,state,utilization,years_to_retire_age,yrs_to_retire_bucket
TRUE,,59,50-59,37,,C5ISR,Secret,12,Cyber,C5ISR,2 - Mid,Science & Technology,Bartlet,,2,Bartlet Blore,Female,26.996233,Masters,1,Blore,FALSE,2,1,Contractor,264-630-2358,White,Bartlet.Blore.ctr@mail.mil,59,,MD,100,,0-5
TRUE,TRUE,50,50-59,28,40,C5ISR,TS-SCI,12,Cyber,C5ISR,4 - Senior Technical Expert,Science & Technology,Dalila,Scientists Engineers and Analysts (SEA),5,Dalila Brass,Male,6.663653,Bachelors,2,Brass,TRUE,5,2,Civilian,156-831-4719,White,Dalila.Brass8@mail.mil,62,Aerospace Engineering,MD,60,12,10-15
FALSE,TRUE,64,60+,42,,,Secret,34,Business Acumen,AC,4 - Senior Technical Expert,Leadership,Malia,Scientists Engineers and Analysts (SEA),5,Malia Samworth,Male,6.258422,Masters,3,Samworth,TRUE,5,2,Civilian,736-805-9438,White,Malia.Samworth7@mail.mil,64,Physical Science,NJ,100,,0-5
TRUE,,39,30-39,17,,,Secret,42,Propulsion Sciences,ARL,2 - Mid,Foundational Research,Vanya,,2,Vanya Belderson,Female,14.156394,Doctorate,4,Belderson,TRUE,2,2,Contractor,568-682-3210,White,Vanya.Belderson.ctr@mail.mil,49.843606,,MD,100,11,10-15
TRUE,,53,50-59,31,,Armaments,Secret,6,"Warheads, Propulsion, Energetics, Explosives & Pyrotechnics",AC,4 - Senior Technical Expert,Science & Technology,Major,,5,Major Fodden,Female,22.61239,Bachelors,5,Fodden,FALSE,5,1,Contractor,,White,Major.Fodden.ctr@mail.mil,55.387611,,NJ,100,2,0-5
TRUE,,50,50-59,28,80,,None,43,Protection Sciences,ARL,5 - Management,Foundational Research,Madison,,4,Madison Tindle,Male,14.568938,Doctorate,6,Tindle,TRUE,4,1,Contractor,423-770-7324,White,Madison.Tindle.ctr@mail.mil,60.431063,,MD,20,10,05-10
TRUE,FALSE,34,30-39,12,,Armaments,None,6,"Warheads, Propulsion, Energetics, Explosives & Pyrotechnics",ARL,5 - Management,Science & Technology,Farlie,Scientists Engineers and Analysts (SEA),4,Farlie Gass,Male,0.841769,Doctorate,7,Gass,TRUE,4,2,Civilian,623-490-6535,White,Farlie.Gass4@mail.mil,58.158231,Mechanical Engineering,MD,100,24,20-25
FALSE,,44,40-49,22,,Aviation & Missile,Secret,1,"Fuzing, Guidance, Controls, Seekers",AvMC,4 - Senior Technical Expert,Science & Technology,Darryl,,5,Darryl Sommerlin,Female,12.58081,Doctorate,8,Sommerlin,TRUE,5,1,Contractor,343-838-0897,White,Darryl.Sommerlin.ctr@mail.mil,56.41919,,AL,100,12,10-15
TRUE,TRUE,33,30-39,11,80,Ground Vehicle,Secret,27,Survivability & Protection,GvSC,1 - Junior,Science & Technology,Sile,Scientists Engineers and Analysts (SEA),1,Sile Issitt,Female,3.398545,Masters,9,Issitt,TRUE,1,1,Civilian,712-416-6052,Non-White,Sile.Issitt8@mail.mil,54.601455,General Engineering,MI,20,22,20-25
TRUE,,39,30-39,17,100,C5ISR,Secret,12,Cyber,C5ISR,2 - Mid,Science & Technology,Oliviero,,2,Oliviero Harradence,Female,14.687234,Masters,10,Harradence,FALSE,2,,Contractor,479-375-2186,White,Oliviero.Harradence.ctr@mail.mil,49.312766,,MD,,10,05-10
TRUE,TRUE,42,40-49,20,100,Aviation & Missile,Secret,5,Air Defense Sensor Tech,AvMC,5 - Management,Science & Technology,Meryl,Scientists Engineers and Analysts (SEA),4,Meryl Pinniger,Male,1.581455,Bachelors,11,Pinniger,TRUE,4,,Civilian,221-592-1031,White,Meryl.Pinniger9@mail.mil,62,Analysis & Operations Research,AL,,20,15-20
TRUE,FALSE,21,20-29,-1,80,Aviation & Missile,None,3,"Propulsion, Explosives, Energetics & Warheads",AvMC,1 - Junior,Science & Technology,Nestor,Scientists Engineers and Analysts (SEA),1,Nestor Ind,Female,,Bachelors,12,Ind,TRUE,1,1,Civilian,622-927-8036,Non-White,Nestor.Ind7@mail.mil,46,Chemical Engineering,AL,20,25,20-25
TRUE,TRUE,41,40-49,19,,,Top Secret,71,Sustainment Engineering,SC,3 - Senior,Lifecycle Engineering,Tove,Scientists Engineers and Analysts (SEA),3,Tove Berndtsson,Male,2.014803,Masters,13,Berndtsson,TRUE,3,3,Civilian,,White,Tove.Berndtsson9@mail.mil,62,Mechanical Engineering,MA,100,21,20-25
TRUE,TRUE,44,40-49,22,,Soldier,Secret,23,Material Science – Fiber/Textile,SC,2 - Mid,Science & Technology,Thomas,Scientists Engineers and Analysts (SEA),2,Thomas Mutlow,Female,3.063186,Bachelors,14,Mutlow,FALSE,2,1,Civilian,420-210-1636,White,Thomas.Mutlow7@mail.mil,62,Mechanical Engineering,MA,100,18,15-20
TRUE,TRUE,43,40-49,21,,,Secret,56,Inspector General,GvSC,2 - Mid,Business,Pippa,Scientists Engineers and Analysts (SEA),2,Pippa Abramcik,Female,15.456085,Bachelors,15,Abramcik,FALSE,2,1,Civilian,157-924-5465,White,Pippa.Abramcik8@mail.mil,52.543915,Electronics Engineering,MI,100,10,05-10
TRUE,,56,50-59,34,,,None,55,Financial/ Res Mgmt,GvSC,5 - Management,Business,Thaine,,4,Thaine Spillman,Male,25.161388,Bachelors,16,Spillman,TRUE,4,3,Contractor,567-556-3296,Non-White,Thaine.Spillman.ctr@mail.mil,56,,MI,100,,0-5
